,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
1,Result_U-Net_E11_11-1,67,1645,"(36.496656534954404, 61.538601823708206)",4.443017963055311e-05
2,Result_U-Net_E11_11-1,67,5940,"(74.05690235690236, 192.9537037037037)",4.443017963055311e-05
3,Result_U-Net_E11_11-1,67,6938,"(156.93427500720668, 1050.014989910637)",4.443017963055311e-05
4,Result_U-Net_E11_11-1,67,1866,"(153.06109324758842, 722.4614147909967)",4.443017963055311e-05
5,Result_U-Net_E11_11-1,67,1469,"(176.1626957113683, 654.9537100068073)",4.443017963055311e-05
6,Result_U-Net_E11_11-1,67,1936,"(210.00154958677686, 1138.263429752066)",4.443017963055311e-05
7,Result_U-Net_E11_11-1,67,4904,"(238.0615823817292, 722.278955954323)",4.443017963055311e-05
8,Result_U-Net_E11_11-1,67,2729,"(270.27445950897766, 1103.980945401246)",4.443017963055311e-05
9,Result_U-Net_E11_11-1,67,474,"(249.373417721519, 802.2362869198312)",4.443017963055311e-05
10,Result_U-Net_E11_11-1,67,1315,"(269.4836501901141, 58.87680608365019)",4.443017963055311e-05
11,Result_U-Net_E11_11-1,67,1576,"(273.56852791878174, 966.751269035533)",4.443017963055311e-05
12,Result_U-Net_E11_11-1,67,6062,"(316.8617617947872, 364.80534477070273)",4.443017963055311e-05
13,Result_U-Net_E11_11-1,67,1163,"(357.91487532244196, 245.195184866724)",4.443017963055311e-05
14,Result_U-Net_E11_11-1,67,1205,"(370.84066390041494, 596.356846473029)",4.443017963055311e-05
15,Result_U-Net_E11_11-1,67,1644,"(377.5419708029197, 696.9829683698297)",4.443017963055311e-05
16,Result_U-Net_E11_11-1,67,3768,"(418.7826433121019, 314.44692144373676)",4.443017963055311e-05
17,Result_U-Net_E11_11-1,67,617,"(387.7585089141005, 756.711507293355)",4.443017963055311e-05
18,Result_U-Net_E11_11-1,67,4874,"(422.04636848584323, 46.098071399261386)",4.443017963055311e-05
19,Result_U-Net_E11_11-1,67,1555,"(408.08038585209005, 451.55884244372993)",4.443017963055311e-05
