,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
1,E11_11-1,72,1781,"(35.011791128579446, 60.361594609769796)",4.774586467760931e-05
2,E11_11-1,72,6640,"(155.36731927710844, 1050.7519578313254)",4.774586467760931e-05
3,E11_11-1,72,1615,"(153.90402476780187, 722.4191950464397)",4.774586467760931e-05
4,E11_11-1,72,1187,"(176.52316764953665, 654.3689974726201)",4.774586467760931e-05
5,E11_11-1,72,2027,"(209.12876171682288, 1136.3048840651209)",4.774586467760931e-05
6,E11_11-1,72,5334,"(235.91263592050993, 725.7365954255717)",4.774586467760931e-05
7,E11_11-1,72,3076,"(270.8754876462939, 1103.178478543563)",4.774586467760931e-05
8,E11_11-1,72,2496,"(257.8088942307692, 785.3345352564103)",4.774586467760931e-05
9,E11_11-1,72,1604,"(272.53865336658356, 966.1072319201995)",4.774586467760931e-05
10,E11_11-1,72,6009,"(316.2672657680146, 366.3334997503744)",4.774586467760931e-05
11,E11_11-1,72,985,"(358.7959390862944, 245.85888324873096)",4.774586467760931e-05
12,E11_11-1,72,1061,"(369.186616399623, 597.9132893496701)",4.774586467760931e-05
13,E11_11-1,72,1727,"(377.7666473653735, 699.4116965836711)",4.774586467760931e-05
14,E11_11-1,72,3921,"(416.71843917368017, 314.69650599336904)",4.774586467760931e-05
15,E11_11-1,72,879,"(387.7269624573379, 756.6336746302617)",4.774586467760931e-05
16,E11_11-1,72,4681,"(422.72933133945736, 45.21704763939329)",4.774586467760931e-05
17,E11_11-1,72,1432,"(409.77653631284915, 452.51675977653633)",4.774586467760931e-05
18,E11_11-1,72,3692,"(422.70124593716145, 176.3215059588299)",4.774586467760931e-05
19,E11_11-1,72,1531,"(412.3821032005225, 893.5035924232528)",4.774586467760931e-05
20,E11_11-1,72,1510,"(433.52649006622516, 364.64900662251654)",4.774586467760931e-05
21,E11_11-1,72,1397,"(450.4452397995705, 599.7723693629206)",4.774586467760931e-05
22,E11_11-1,72,583,"(441.72898799313896, 729.1440823327616)",4.774586467760931e-05
23,E11_11-1,72,3958,"(502.6763516927741, 265.28979282465895)",4.774586467760931e-05
24,E11_11-1,72,4817,"(503.4496574631513, 817.550965331119)",4.774586467760931e-05
25,E11_11-1,72,2964,"(487.3802294197031, 905.8866396761133)",4.774586467760931e-05
26,E11_11-1,72,907,"(488.9393605292172, 499.8037486218302)",4.774586467760931e-05
27,E11_11-1,72,3469,"(515.8760449697319, 447.266070913808)",4.774586467760931e-05
28,E11_11-1,72,2035,"(513.7233415233416, 347.35380835380835)",4.774586467760931e-05
29,E11_11-1,72,977,"(543.9846468781985, 703.9989764585466)",4.774586467760931e-05
30,E11_11-1,72,3705,"(570.9511470985155, 916.8151147098515)",4.774586467760931e-05
31,E11_11-1,72,507,"(570.8481262327416, 565.2623274161735)",4.774586467760931e-05
32,E11_11-1,72,519,"(566.0635838150289, 624.4874759152216)",4.774586467760931e-05
33,E11_11-1,72,836,"(580.084928229665, 807.0394736842105)",4.774586467760931e-05
34,E11_11-1,72,2616,"(594.3390672782874, 1031.505733944954)",4.774586467760931e-05
35,E11_11-1,72,1489,"(606.7817327065144, 764.8260577568839)",4.774586467760931e-05
36,E11_11-1,72,3673,"(630.1647154914239, 199.49142390416554)",4.774586467760931e-05
37,E11_11-1,72,3218,"(646.7815413300186, 490.17215661901804)",4.774586467760931e-05
38,E11_11-1,72,1826,"(639.3143483023001, 804.1391018619935)",4.774586467760931e-05
39,E11_11-1,72,1264,"(636.0537974683544, 662.5348101265823)",4.774586467760931e-05
40,E11_11-1,72,1966,"(645.7171922685657, 884.4018311291964)",4.774586467760931e-05
41,E11_11-1,72,1465,"(664.4689419795221, 673.9078498293516)",4.774586467760931e-05
42,E11_11-1,72,7410,"(691.1302294197031, 965.9427800269906)",4.774586467760931e-05
43,E11_11-1,72,1995,"(662.9303258145363, 354.11328320802005)",4.774586467760931e-05
44,E11_11-1,72,1572,"(711.2964376590331, 776.7493638676845)",4.774586467760931e-05
45,E11_11-1,72,5265,"(742.6461538461539, 864.7251661918328)",4.774586467760931e-05
46,E11_11-1,72,12070,"(853.3241922120961, 1039.8081193040596)",4.774586467760931e-05
47,E11_11-1,72,3628,"(810.2130650496141, 864.2841786108048)",4.774586467760931e-05
48,E11_11-1,72,1959,"(842.5533435426238, 325.54517611026034)",4.774586467760931e-05
49,E11_11-1,72,1680,"(835.8125, 1154.9202380952381)",4.774586467760931e-05
50,E11_11-1,72,3466,"(856.1439699942297, 917.6485862665897)",4.774586467760931e-05
51,E11_11-1,72,6671,"(908.810523159946, 494.23189926547747)",4.774586467760931e-05
52,E11_11-1,72,1635,"(918.7547400611621, 866.2293577981651)",4.774586467760931e-05
53,E11_11-1,72,1142,"(918.822241681261, 1019.4982486865149)",4.774586467760931e-05
54,E11_11-1,72,1981,"(932.2640080767289, 733.2377587077234)",4.774586467760931e-05
55,E11_11-1,72,2450,"(940.6281632653062, 1130.8763265306122)",4.774586467760931e-05
56,E11_11-1,72,401,"(966.356608478803, 995.8254364089776)",4.774586467760931e-05
57,E11_11-1,72,1166,"(995.6835334476843, 33.0377358490566)",4.774586467760931e-05
58,E11_11-1,72,1766,"(984.3697621744054, 958.4575311438279)",4.774586467760931e-05
59,E11_11-1,72,4861,"(1029.5036000822877, 1042.5003085784817)",4.774586467760931e-05
60,E11_11-1,72,4140,"(1012.2512077294685, 596.8335748792271)",4.774586467760931e-05
61,E11_11-1,72,3595,"(1032.5716272600835, 901.2294853963839)",4.774586467760931e-05
62,E11_11-1,72,2427,"(1046.7536052740008, 506.1120725175113)",4.774586467760931e-05
63,E11_11-1,72,3264,"(1055.4494485294117, 708.4920343137255)",4.774586467760931e-05
64,E11_11-1,72,2355,"(1059.184288747346, 104.32781316348195)",4.774586467760931e-05
65,E11_11-1,72,3124,"(1082.927976952625, 1008.7371959026889)",4.774586467760931e-05
66,E11_11-1,72,1918,"(1076.6730969760167, 917.5448383733055)",4.774586467760931e-05
67,E11_11-1,72,2250,"(1087.8844444444444, 509.9391111111111)",4.774586467760931e-05
68,E11_11-1,72,2883,"(1094.6944155393687, 861.7041276448144)",4.774586467760931e-05
69,E11_11-1,72,947,"(1099.9556494192186, 614.3600844772967)",4.774586467760931e-05
70,E11_11-1,72,1527,"(1121.4983628028815, 922.3988212180747)",4.774586467760931e-05
71,E11_11-1,72,2025,"(1192.4044444444444, 464.4088888888889)",4.774586467760931e-05
72,E11_11-1,72,1564,"(1184.8446291560103, 1171.8606138107416)",4.774586467760931e-05
1,E11_11-10,79,1346,"(34.84546805349183, 57.917533432392275)",5.2387823743488e-05
2,E11_11-10,79,4797,"(153.36210131332084, 1040.692933083177)",5.2387823743488e-05
3,E11_11-10,79,1690,"(155.97278106508875, 725.2532544378698)",5.2387823743488e-05
4,E11_11-10,79,2994,"(184.54776219104878, 776.627254509018)",5.2387823743488e-05
5,E11_11-10,79,1202,"(178.46505823627288, 653.1955074875208)",5.2387823743488e-05
6,E11_11-10,79,508,"(179.45275590551182, 1137.6673228346456)",5.2387823743488e-05
7,E11_11-10,79,1279,"(210.62314308053166, 1034.2462861610634)",5.2387823743488e-05
8,E11_11-10,79,713,"(210.29172510518933, 1138.2300140252455)",5.2387823743488e-05
9,E11_11-10,79,2309,"(259.1645734084019, 1096.5305326981377)",5.2387823743488e-05
10,E11_11-10,79,5137,"(259.2832392446953, 746.1249756667315)",5.2387823743488e-05
11,E11_11-10,79,1654,"(266.6638452237001, 961.8488512696493)",5.2387823743488e-05
12,E11_11-10,79,5583,"(316.98907397456566, 368.9084721475909)",5.2387823743488e-05
13,E11_11-10,79,5446,"(355.2295262578039, 544.2029012118986)",5.2387823743488e-05
14,E11_11-10,79,640,"(358.9359375, 248.315625)",5.2387823743488e-05
15,E11_11-10,79,1029,"(372.03984450923224, 598.315840621963)",5.2387823743488e-05
16,E11_11-10,79,1538,"(380.9921976592978, 689.3114434330299)",5.2387823743488e-05
17,E11_11-10,79,973,"(379.9475847893114, 756.2127440904419)",5.2387823743488e-05
18,E11_11-10,79,5179,"(409.6093840509751, 51.52346012743773)",5.2387823743488e-05
19,E11_11-10,79,3536,"(420.65752262443436, 317.4773755656109)",5.2387823743488e-05
